token;freq
e;112583
l;44980
ɡ;7859
ɾ;53650
u;18967
p;25315
o;78804
s;78914
t;38043
a;105361
k;34238
i;52998
d;43696
f;8333
n;59592
x;5678
w;7262
b;18936
m;22897
ʃ;128
j;11991
t͡ʃ;1558
0;5259
ɲ;1869
ʝ;2601
r;1464
t͡ɬ;84
t͡s;27
ü;9
è;1
ç;13
