token;freq
ə;20761
s;11652
ɛ;6938
m;6336
b;4055
l;8831
i;7250
ʃ;2179
n;16190
ɹ;10361
ɔ;3140
t;15883
ʌ;5325
t͡ʃ;1302
ɡ;1930
ʊ;775
d;8960
ð;6494
d͡ʒ;1363
ɹ̩;5556
w;7567
ɪ;13182
z;6462
e;3420
j;7945
h;2815
æ;6841
p;4969
f;3620
v;4784
k;7133
a;3924
ɑ;4184
o;2848
u;2583
ŋ;2038
ʒ;133
θ;679
0;4
