token;freq
line;26
tjem;148
fɾa;39
festo;19
laɾo;33
bwi;8
bladi;5
miɾ;26
ɾoie;3
tɾe;20
ink;176
jan;217
twi;21
neɡ;34
bui;17
t͡ʃek;10
pon;165
sab;60
sjemp;110
xib;5
bɾas;19
ɡmt;19
eeuu;46
foɾmo;38
tek;69
bide;6
pole;13
xos;137
most;47
jes;20
xaɾ;91
mjemb;51
tekni;61
ɡɾafi;3
sienti;32
mik;51
mstis;1
kel;9
diʃ;1
fo;121
fiɾ;140
buɾ;49
kɾeen;12
mostɾo;34
boɡo;6
blas;7
fa;294
xun;138
ok;79
kumb;34
nama;29
susk;13
fes;39
pai;126
poi;71
koo;39
konf;37
lik;63
duk;296
tɾafi;17
deu;13
obsta;5
aɡ;125
poli;225
kono;86
kan;446
lom;69
t͡ʃi;115
dip;22
loma;17
deka;13
pɾeso;16
kuɾ;146
pɾoɡ;102
nolo;14
basi;19
dul;19
menso;22
fon;99
indi;17
teks;32
salto;12
pul;52
ɡatt;1
ib;1
sun;73
ɡ;5
nib;14
ame;40
posto;2
lib;104
luio;14
blo;17
b;15
lok;4
ekspli;2
dou;69
kast;24
deɾo;27
dep;22
sai;21
kum;18
mokɾa;25
plu;23
kul;177
puɡno;1
ɡɾal;1
nwiɾ;3
klu;19
pob;62
ɾup;20
ɾis;120
kotɾa;11
lin;34
bii;2
eti;7
deno;7
lei;100
elms;1
xis;47
pais;195
ɾai;65
niɾ;26
sak;29
ɡal;70
niso;8
xus;85
kus;36
ɾjes;20
sito;19
peɾu;34
pas;133
fɾon;25
poio;3
kaɾak;27
dina;3
mul;41
iks;2
kɾeo;2
siɡno;1
soi;18
nom;48
lwi;32
eneɾ;2
inf;43
ɾin;24
xan;50
ɾobo;10
bɾi;24
teɾo;19
pli;68
pel;56
dop;33
lud;17
am;157
saba;32
xip;23
pub;31
ɾam;7
semb;3
tɾo;29
leman;21
win;7
ɾom;18
mel;8
kub;9
ɾiɾ;54
inɡ;43
mein;3
kob;33
kalku;10
ksis;107
uni;87
ekta;7
estan;90
lim;29
kilo;33
penin;3
nai;15
kai;72
imp;49
